url	title	category_id	keywords
https://techblog.woowahan.com/12548	Hygen을 이용한 컴포넌트 템플릿 만들기 | 우아한형제들 기술블로그	0	react#cli#hygen
https://tech.kakao.com/posts/472	Preview Back-end @if(kakao)2021 - tech.kakao.com	1	백엔드#마이그레이션#스프링
https://tech.kakao.com/posts/637	効率的な VMWare インフラ運用のための最適な VM 密度テスト - tech.kakao.com	2	vmware#cpu 밀도#가상화
https://techblog.woowahan.com/17647	로봇을 위한 MLOps #1: Edge device와 K3s, Airflow | 우아한형제들 기술블로그	3	자율주행#mlops#머신러닝
https://techblog.woowahan.com/9135	[다시보기] 8월 우아한테크세미나 | 개발자가 꼭 알아야 할 애플리케이션 보안: 입문부터 놓치면 안될 트렌드까지?! | 우아한형제들 기술블로그	4	앱 보안#취약점 진단#jwt
https://tech.kakao.com/posts/351	MySQL Ascending index vs Descending index - tech.kakao.com	5	descending index#forward index scan#mysql 8.0
https://tech.kakao.com/posts/570	쿠버네티스 프로비저닝 툴과의 만남부터 헤어짐까지 . . . - tech.kakao.com	6	kubernetes#provisioning#kubespray
https://toss.tech/article/user-interview	토스 팀은 점심 시간에 사용자를 만난다	8	유저 리서치#사용성 문제#프로덕트 디자이너
https://toss.tech/article/only-3-users-product	사용자 3명인 제품, 만들어야 할까?	9	콘텐츠 매니저#에디터 개선#기술적 솔루션
https://tech.kakao.com/posts/419	증오발언 근절을 위한 카카오의 원칙 - tech.kakao.com	10	증오발언#디지털 책임#카카오
https://toss.tech/article/32185	Kubernetes CPU 알뜰하게 사용하기	11	
https://tech.kakao.com/posts/381	2019 카카오 개발자 겨울 인턴십 코딩 테스트 문제 해설 - tech.kakao.com	7	게임#크레인 인형뽑기#튜플
