url	title	category_id	keywords
https://tech.kakao.com/posts/685	대규모 앵귤러 웹 애플리케이션 성능 최적화: 카카오 챗봇 관리자센터 사례 - tech.kakao.com	0	performance optimization#angular#chatbot 관리센터
https://techblog.woowahan.com/2705	안심번호(050) 시스템 #1 – 시스템 구축 스토리 | 우아한형제들 기술블로그	1	voip#안심번호#opensips
https://tech.kakao.com/posts/331	개발자를 위한 SSD (Coding for SSD) - Part 6 : A Summary – What every programmer should know about solid-state drives - tech.kakao.com	2	ssd#플래시 메모리#wear leveling
https://tech.kakao.com/posts/489	AQE: Coalescing Post Shuffle Partitions - tech.kakao.com	3	spark#adaptive query execution#partition
https://techblog.woowahan.com/2603	AWS에서 보안 감사 및 이상징후 탐지 | 우아한형제들 기술블로그	4	cloudtrail#aws#log analysis
https://tech.kakao.com/posts/314	Redis의 SCAN은 어떻게 동작하는가? - tech.kakao.com	5	redis#scan#hash table
https://toss.tech/article/25431	GitHub Actions로 개선하는 코드 리뷰 문화	6	code review#자동화#github actions
https://techblog.woowahan.com/15895	가입은 쉽게, 로그인은 실패 없이! 휴대폰번호로 계속하기 | 우아한형제들 기술블로그	8	가입 절차#본인인증#로그인 개선
https://medium.com/daangn/are-you-karrot-%ED%94%84%EB%A1%9C%EB%8D%95%ED%8A%B8-%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88%EC%9D%98-%EB%8B%B9%EA%B7%BC%EB%A7%88%EC%BC%93-%EA%B5%AD%EB%82%B4%EC%99%80-%EA%B8%80%EB%A1%9C%EB%B2%8C%EC%9D%98-%EA%B1%B0%EB%9E%98-%ED%9D%AC%EB%A7%9D-%EC%9E%A5%EC%86%8C-%EB%A7%8C%EB%93%A4%EA%B8%B0-b13cda9e421	“혹시 당근이세요..?” 프로덕트 디자이너의 당근마켓 국내와 글로벌의 거래 희망 장소 만들기	9	디자인#프로덕트 디자이너#당근마켓
https://techblog.woowahan.com/2585	새로운 오피스, 작은집 | 우아한형제들 기술블로그	10	사무실#공간 디자인#우아한형제들
https://toss.tech/article/27372	대출, 새로고침	11	세션#바로가기#댓글
https://techblog.woowahan.com/2526	레거시 코드를 파괴하는 Vim 벽돌 깨기 | 우아한형제들 기술블로그	7	vim#게임#코드파괴
