url	title	category_id	keywords
https://tech.kakao.com/posts/503	[Ka-reer Up!] 카카오 콘텐츠의 시작 “카카오 하모니" 하모니개발파트 이야기 - tech.kakao.com	0	뉴스#프론트엔드#백엔드
https://oliveyoung.tech/2024-09-30/oy-feconf-2024	올리브영에서는 프론트엔드 개발자들이 이런 고민을 하는군요? | 올리브영 테크블로그	1	프론트엔드#테크팀#개발자
https://tech.kakao.com/posts/327	개발자를 위한 SSD (Coding for SSD) - Part 2 : SSD의 아키텍처와 벤치마킹 - tech.kakao.com	2	ssd#nand 플래시 메모리#p/e 사이클
https://tech.kakao.com/posts/633	LLM, 더 저렴하게, 더 빠르게, 더 똑똑하게 - tech.kakao.com	3	llm#ai 서비스#생성 속도
https://tech.kakao.com/posts/547	[post Server!] 인증서개발파트에서 함께 개발하실 동료를 찾고 있습니다! - tech.kakao.com	4	인증서#pki 시스템#전자서명
https://oliveyoung.tech/2024-12-17/catalog-mongo-transaction-2	Spring Boot MongoDB 트랜잭션 도입 실전 가이드 | 올리브영 테크블로그	5	mongodb#트랜잭션#replica set
https://oliveyoung.tech/2024-04-19/pos-modernization	올리브영 POS 서버 Modernization | 올리브영 테크블로그	6	modernization#cloud#spring boot
https://toss.tech/article/recommend-just-one	추천할 때는 제일 좋은 것 하나면 된다	8	카드 혜택#추천 서비스#사용자 경험
https://toss.tech/article/ux-research-partner	UX 리서처, 신입은 어디에서 경력을 쌓나요?	9	ux 리서치#신입 리서처#채용 과정
https://techblog.woowahan.com/2620	개발 미션과 함께 읽는 클린 코드 | 우아한형제들 기술블로그	10	spring#클린 코드#테스트
https://toss.tech/article/27410	토스에서는 테이블 정보를 어떻게 관리하나요?	11	
